OSTATNIA AKTUALIZACJA: 2026-06-29 05:31:16 UTC
Asset           | Cena LIVE            | Źródło         
SCR             | 0.027680             | Binance (Zapas)
SEI             | 0.049780             | Bitget
STRK            | 0.029130             | Bitget
STX             | 0.167500             | Bitget
SUI             | 0.682400             | Bitget
SUPER           | 0.085600             | Bitget
TAO             | 205.4000             | Bitget
THE             | 0.055700             | Binance (Zapas)
TIA             | 0.376300             | Bitget
TON             | 1.5960               | Binance (Zapas)
TSTBSC          | [BRAK PARY]          | -
TURBO           | 0.000908             | Bitget
UMA             | 0.382000             | Binance (Zapas)
VANRY           | 0.002998             | Bitget
VIC             | 0.038910             | Bitget
WLD             | 0.427200             | Bitget
WOO             | 0.010740             | Bitget
WIF             | 0.175000             | Bitget
YGG             | 0.022650             | Bitget
ZIL             | 0.002977             | Bitget
ZRO             | 0.766000             | Bitget
1000LUNC        | 0.061670             | Binance (Zapas-Przeliczony)
ACT             | 0.012920             | Bitget
AIXBT           | 0.019090             | Bitget
AIX             | [BRAK PARY]          | -
AKE             | [BRAK PARY]          | -
ANIME           | 0.002792             | Bitget
ANKR            | 0.003537             | Bitget
APR             | 0.207610             | Bitget
ARC             | [BRAK PARY]          | -
ARIA            | 0.026040             | Bitget
ASTER           | 0.626900             | Bitget
AT              | 0.144100             | Binance (Zapas)
B3              | [BRAK PARY]          | -
BAN             | 0.071590             | Bitget
BARD            | 0.135070             | Bitget
BLESS           | 0.007890             | Bitget
BLUAI           | 0.013039             | Bitget
BR              | 0.149100             | Bitget
BROCCOLI        | 0.011670             | Bitget
BTR             | 0.020490             | Bitget
CARV            | 0.036120             | Bitget
CC              | 0.147580             | Bitget
CETUS           | 0.016670             | Bitget
CKB             | 0.000942             | Bitget
CLANKER         | 15.0900              | Bitget
COW             | 0.146900             | Bitget
CVC             | 0.020510             | Binance (Zapas)
DASH            | 32.7600              | Binance (Zapas)
DOOD            | 0.001412             | Bitget
DOLO            | 0.023020             | Binance (Zapas)
DUSK            | 0.077800             | Bitget
EDU             | 0.030600             | Binance (Zapas)
ENSO            | 0.599400             | Bitget
ESPORTS         | [BRAK PARY]          | -
FLOCK           | 0.032870             | Bitget
FLOKI           | 0.00002162           | Bitget
FLUID           | [BRAK PARY]          | -
GIGGLE          | 24.7900              | Binance (Zapas)
GRASS           | 0.514900             | Bitget
GTC             | 0.068000             | Binance (Zapas)
GUN             | 0.004365             | Bitget
HANA            | [BRAK PARY]          | -
HEI             | 0.140200             | Bitget
HEMI            | 0.004490             | Binance (Zapas)
HYPER           | 0.080310             | Bitget
HYPE            | 61.9590              | Bitget
ICNT            | 0.232700             | Bitget
IP              | 0.311250             | Bitget
JCT             | 0.004786             | Bitget
JELLYJELLY      | 0.056320             | Bitget
JST             | 0.088800             | Bitget
KAS             | 0.027790             | Bitget
LAB             | 13.7824              | Bitget
LIGHT           | 0.116790             | Bitget
LINEA           | 0.002269             | Bitget
LUMIA           | 0.118900             | Bitget
LYN             | [BRAK PARY]          | -
MAGIC           | 0.046900             | Binance (Zapas)
MERL            | 0.018870             | Bitget
MEW             | 0.000363             | Bitget
MMT             | 0.183300             | Bitget
MUBARAK         | 0.009930             | Bitget
MYX             | 0.089900             | Bitget
NAORIS          | 0.040720             | Bitget
NEWT            | 0.047120             | Bitget
NOM             | 0.001405             | Bitget
OG              | 2.5010               | Bitget
OGN             | 0.014970             | Bitget
ONG             | 0.047190             | Binance (Zapas)
ONT             | 0.043590             | Bitget
OPEN            | 0.159060             | Bitget
ORBS            | 0.005880             | Bitget
ORCA            | 1.1880               | Bitget
PARTI           | 0.046870             | Bitget
PAXG            | 4040.2600            | Bitget
PENGU           | 0.006065             | Bitget
PEOPLE          | 0.005021             | Bitget
PIPIN           | [BRAK PARY]          | -
PIEVERSE        | [BRAK PARY]          | -
PIXEL           | 0.004842             | Bitget
PNUT            | 0.043520             | Bitget
PTB             | [BRAK PARY]          | -
PUMP            | 0.001398             | Bitget
RAD             | 0.212000             | Binance (Zapas)
RARE            | 0.012180             | Bitget
RED             | 0.091900             | Bitget
RESOLV          | 0.019890             | Bitget
RIVER           | 3.6124               | Bitget
ROAM            | 0.008189             | Bitget
SAGA            | 0.013140             | Bitget
SAROS           | [BRAK PARY]          | -
SIGN            | 0.008490             | Bitget
SKYAI           | 0.121140             | Bitget
SOMI            | 0.099700             | Bitget
STG             | 0.170500             | Bitget
STO             | 0.045420             | Bitget
SXT             | 0.006690             | Bitget
TNSR            | 0.033370             | Bitget
TRUST           | 0.050160             | Bitget
TRUTH           | [BRAK PARY]          | -
USELESS         | [BRAK PARY]          | -
USUAL           | 0.009210             | Bitget
USTC            | 0.005505             | Bitget
VANA            | 1.1242               | Bitget
VELVET          | 1.6868               | Bitget
VINE            | [BRAK PARY]          | -
VIRTUAL         | 0.532000             | Bitget
VVV             | [BRAK PARY]          | -
WAXP            | 0.004040             | Binance (Zapas)
WLFI            | 0.057890             | Bitget
XNY             | [BRAK PARY]          | -
XPIN            | [BRAK PARY]          | -
XPLUS           | [BRAK PARY]          | -
XRO             | [BRAK PARY]          | -
ZBCN            | 0.002280             | Bitget
ZBT             | 0.104940             | Bitget
ZENT            | 0.002328             | Bitget
ZEREBRO         | [BRAK PARY]          | -
ZKC             | 0.043440             | Bitget
ZRX             | 0.082300             | Bitget
